RM,unit,Branch, December , 12th jan , 19th jan , 26th jan , January , WK1 FEB , WK1 FEB2 , WK1 FEB3 , WK1 FEB4 , WK1 mar 
RM 2,Branch Banking,Mombasa,43958596,43958596,43958596,43958596,43958596,43958596,43958596,43958596,43958596,43958596
RM 6,Institutional Banking,Milimani,813889,11492,11532,1211532,1209943,1205934,62531,62532,61767,58512
RM 1,Branch Banking,Milimani,3183591,3967275,3793362,3991207,4058451,4412058,4100722,4558907,4790704,5564112
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,2211441,2090793,2026393,2002033,2002033,2016884,1976385,1916385,1419785,1239610
RM 5,Corporate Banking,Milimani,20695,20713,20951,20951,20333,20262,20138,20244,19631,19717
RM 6,Institutional Banking,Milimani,20340000,20340000,20340000,20340000,20340000,20340000,20340000,20340000,20340000,20340000
RM 5,Corporate Banking,Milimani,16606295,14472032,22341251,22013623,21582692,15409925,15468425,15468425,27961373,15696663
RM 6,Institutional Banking,Milimani,119650374,161454220,161993082,161993082,161992463,162206224,162179306,172202378,172201765,172947431
RM 1,Branch Banking,Milimani,48922895,49451208,49918057,49570351,49327855,49604162,49335587,49826391,49221641,48706715
RM 1,Branch Banking,Milimani,144681,144684,144723,144723,144723,144711,144690,144708,144708,144723
RM 1,Branch Banking,Milimani,0,0,0,0,0,28053,500,500,500,500
RM 1,Branch Banking,Milimani,66873557,66932684,67701346,67701346,67701346,67464835,67050940,67405707,67405707,67701346
RM 1,Branch Banking,Milimani,74,74,74,135074,35316,86,86,86,    ,    
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 5,Corporate Banking,Milimani,160662,160804,162651,162651,162032,161466,160476,161325,160712,161416
RM 13,Branch Banking,Industrial Area,33785563,33785563,33819762,33796414,33796414,33796414,33796414,33828738,33828738,34667838
RM 1,Branch Banking,Milimani,3310650,3495935,3495935,7295519,7305029,7305029,7305029,3319529,3321574,3374415
RM 1,Branch Banking,Milimani,19832788,19832788,19939937,16920185,16920185,19920185,19994055,19994055,19994055,19296426
RM 1,Branch Banking,Milimani,110808,111445,112262,111653,110629,111112,110642,111204,109550,108653
RM 1,Branch Banking,Milimani,295608,3122661,3256423,3713210,1272896,1112288,418272,971607,827298,1290643
RM 5,Corporate Banking,Milimani,23221002,23344072,23429385,38343245,38326182,38285141,38180071,38157939,38157672,38080097
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,440989,424650,247650,515150,636355,868399,729849,497549,854832,2380975
RM 6,Institutional Banking,Milimani,17353495,17368839,17568304,17568304,17568304,17574927,17467105,17559524,17559524,17636539
RM 2,Branch Banking,Mombasa,25027075,25229136,25524136,25510291,25677527,25605043,25614314,25623754,25639754,25751462
RM 13,Branch Banking,Industrial Area,2262649,2269544,2269544,2269544,2269544,2269544,2269544,2269544,2280060,2301857
RM 1,Branch Banking,Milimani,3687215,3687215,4207215,4207215,4223850,4257850,4577850,4577850,4591972,5111972
RM 1,Branch Banking,Milimani,25715664,33151928,27506643,28250549,27190974,21843905,22704122,23448656,22657969,26782874
RM 5,Corporate Banking,Milimani,30693926,28208662,28597271,36143869,31395229,28439344,34341473,27943770,29033599,32018318
RM 1,Branch Banking,Milimani,374735,374735,374735,374735,374135,374135,374135,374135,373535,2016020
RM 13,Branch Banking,Industrial Area,962181,1465877,1239531,1114100,786896,598877,480855,1321571,1890931,2354033
RM 5,Corporate Banking,Milimani,38814058,38814058,58814058,58814058,58813458,58813458,58813458,58813458,59198502,59198502
RM 1,Branch Banking,Milimani,489367,94007,713188,442660,392060,366700,336700,869839,820123,594763
RM 5,Corporate Banking,Milimani,19468876,19810819,19810819,19810819,19810819,19810819,19810819,19810819,19810819,19810819
RM 1,Branch Banking,Milimani,43142165,43150132,23168407,49025322,49005062,34040295,24019315,24024059,24001561,4970406
RM 1,Branch Banking,Milimani,29651540,29651540,29651540,29651540,29651540,29651540,29651540,29651540,30223287,30223287
RM 1,Branch Banking,Milimani,3120555,3120555,3282055,3282055,3281455,3354955,3336955,3336955,3336355,3601105
RM 5,Corporate Banking,Milimani,17612635,17612635,17612635,17612635,17612635,18213045,18213045,18213045,18213045,17427669
RM 6,Institutional Banking,Milimani,18449090,18449090,18449090,18449090,18449090,18449090,18449090,18449090,18449090,18449090
RM 7,Corporate Sales,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,212749701,212816000,215260000,215260000,215260000,215260000,213192000,214320000,214320000,214320000
RM 6,Institutional Banking,Milimani,170037701,169800000,171750000,171750000,171750000,171750000,170100000,171000000,171000000,171000000
RM 6,Institutional Banking,Milimani,554000000,554000000,554000000,554000000,554000000,554000000,554000000,554000000,554000000,554000000
RM 1,Branch Banking,Milimani,1673520,996820,903820,903820,626544,231813,31813,31813,482246,54880
RM 13,Branch Banking,Industrial Area,17589268,17589268,17589268,17589268,17589268,17589268,17589268,17947270,17947270,17947270
RM 1,Branch Banking,Milimani,2927287,2927287,2927287,2927287,2926687,2926687,2926687,2926687,2926087,2926087
RM 1,Branch Banking,Milimani,22213,22225,322385,122385,122385,22336,22249,2022323,1522323,1187385
RM 6,Institutional Banking,Milimani,2096764,96165,96176,96176,95805,95803,95799,95802,95434,95435
RM 1,Branch Banking,Milimani,21695940,21695940,21695940,21695940,21695940,21695940,21695940,21695940,22114285,22114285
RM 1,Branch Banking,Milimani,3126788,3126788,3138347,3138347,3098347,3017147,3017147,3017147,3017147,3017147
RM 1,Branch Banking,Milimani,17743255,17743255,17743255,17743255,17742655,17742655,17742655,17742655,18131528,18131528
RM 1,Branch Banking,Milimani,14643498,14682925,14528136,14528136,14517002,14829769,14829769,14829769,14874623,14881390
RM 1,Branch Banking,Milimani,17014653,17014653,17014653,17014653,17014653,17014653,17014653,17014653,17342732,17342732
RM 5,Corporate Banking,Milimani,5894738,5934288,6864218,6406179,4876515,3389132,2425081,763633,    ,2001451
RM 1,Branch Banking,Milimani,10393692,10393692,10393692,10393692,10393692,10393692,10393692,10393692,10594105,10594105
RM 1,Branch Banking,Milimani,6946909,7047101,1783696,1792816,2578811,2876436,1116032,2278492,2781857,3882997
RM 1,Branch Banking,Milimani,14967258,14967258,15003785,15003785,15237864,15237864,15237864,15237864,15237864,15237864
RM 1,Branch Banking,Milimani,25897649,25898751,25913075,25913075,25913075,25908668,25909098,25915752,25915752,26134455
RM 8,Corporate Sales,Milimani,13030043,13008043,13008043,13008043,13011633,13426633,13356533,13356533,13365065,13365065
RM 6,Institutional Banking,Milimani,13558402,13558402,13558402,13558402,13558402,13558402,13558402,13558402,14110280,14110280
RM 2,Branch Banking,Mombasa,6041722,5891512,5860334,5860334,5860334,5713268,5533136,5533136,5533136,5600290
RM 1,Branch Banking,Milimani,10401586,10514586,10499454,11144256,11108740,11104042,11003976,11013323,11003725,11002205
RM 1,Branch Banking,Milimani,8041064,8116043,8212264,8140599,8109271,8166351,8110868,8177221,8068575,7962447
RM 1,Branch Banking,Milimani,13396227,13408071,13562051,13562051,13562051,13514673,13431761,13502828,13502828,13562051
RM 13,Branch Banking,Industrial Area,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,3587896,3642896,3670896,3687896,3701896,3701896,3757896,3808896,3822696,3672696
RM 7,Corporate Sales,Milimani,644630,644630,644630,644630,644030,644030,644030,644030,1313430,3993430
RM 1,Branch Banking,Milimani,1683204,1561573,1561573,1561573,1716211,1574865,1574865,1774865,1929503,1852191
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,1158582,1118582,1093582,1092622,1092622,1092622,1092622,1092622,1092622,1106771
RM 5,Corporate Banking,Milimani,8992440,8992440,8992440,8992440,8991840,8991840,8991840,8991840,8991240,8991240
RM 1,Branch Banking,Milimani,67285342,68418915,68484657,68403235,68364586,68436668,67874480,67894824,67857297,67808979
RM 1,Branch Banking,Milimani,677871,677871,677871,677871,677871,807871,807871,807871,807871,807871
RM 1,Branch Banking,Milimani,2295440,2465452,2465601,2465601,2634383,2634339,2634262,2634328,2633115,2633167
RM 8 ,Corporate Sales,Milimani,15361814,15836229,16167584,16521424,16919381,17207121,17539221,17760701,17871591,18094081
RM 1,Branch Banking,Milimani,4830791,825890,543328,66974,436648,59399,1102430,1360098,779725,560344
RM 1,Branch Banking,Milimani,5807080,5807080,5807080,5807080,5806480,5806480,5806480,5806480,6705880,7080880
RM 1,Branch Banking,Milimani,13399941,13631649,13531574,13531574,13531574,13411540,13311713,13311673,13311673,13256787
RM 1,Branch Banking,Milimani,257884039,256667372,251626410,248068893,247835188,284328202,281433251,270257215,290585347,241656200
RM 1,Branch Banking,Milimani,143912,231112,214612,266532,226432,316632,316632,336632,282474,355370
RM 3,Branch Banking,Eldoret,11994681,11679456,11519397,11039397,10511797,9219067,9040875,8980338,9930338,8835338
RM 9,Corporate Banking,Milimani,1494554,696156,729766,392,    ,318566,78,78,2499118,636854
RM 13,Branch Banking,Industrial Area,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,42424131,42424131,42424131,42424131,42424131,42424131,42424131,42424131,43232476,43232476
RM 6,Institutional Banking,Milimani,5222114,5222114,5344443,5343843,5343843,5343843,5343843,5368644,5368644,5537479
RM 2,Branch Banking,Mombasa,12659194,12659194,12659194,12659194,12659194,12659194,12659194,12659194,12659194,12659194
RM 9,Corporate Banking,Milimani,11090213,11007462,11057368,11077512,11077512,11101688,16081622,20314025,20293827,17665131
RM 2,Branch Banking,Mombasa,9508383,9508383,9534732,9534732,9534732,9534732,9534732,9534732,9534732,9619183
RM 13,Branch Banking,Industrial Area,3680683,3680683,3680683,3680683,3680683,3680683,3680683,3680683,3680683,3680683
RM 13,Branch Banking,Industrial Area,8355706,8356111,8361375,8361375,8440167,6825547,5391732,5394162,5394162,5406478
RM 1,Branch Banking,Milimani,707911,710647,710647,710647,710081,710081,783911,783911,783391,848391
RM 2,Branch Banking,Mombasa,8609591,8609591,8609591,8609591,8609591,8609591,8609591,8609591,8609591,8609591
RM 1,Branch Banking,Milimani,20745200,20745200,20745200,20745200,20745200,20745200,20745200,20745200,20745200,20745200
RM 1,Branch Banking,Milimani,6895782,6895782,6895782,6895782,6895782,6895782,6895782,6895782,7028747,7028747
RM 1,Branch Banking,Milimani,238835338,234186133,238034995,237350101,236733196,236270247,237445846,237445846,236243362,240439500
RM 1,Branch Banking,Milimani,64548,64599,65257,65257,64657,64454,64100,64404,63804,64057
RM 3,Branch Banking,Eldoret,8559824,8559824,8559824,8559824,8559824,8559824,8559824,8559824,8559824,8707833
RM 6,Institutional Banking,Milimani,42855,42855,42855,42855,42855,42855,42855,42855,42855,42855
RM 1,Branch Banking,Milimani,1829396,1899396,1899396,1899396,1969396,1969396,1969396,1997151,1997151,2067151
RM 1,Branch Banking,Milimani,82832308,82832308,82832308,82832308,82832308,82832308,82832308,82832308,84429497,84429497
RM 3,Branch Banking,Eldoret,7953222,7953222,7953222,7953222,7953222,7953222,7953222,7953222,8093798,8093798
RM 13,Branch Banking,Industrial Area,29601330,29148976,29628605,29628605,29627987,29255111,28979086,28990739,28990126,28999834
RM 2,Branch Banking,Mombasa,8580283,8943523,9557523,7056623,7056623,7091257,7453257,7753257,7753257,7953257
RM 1,Branch Banking,Milimani,6466050,3503494,3503494,3503494,3503494,1184805,1184805,    ,    ,    
RM 2,Branch Banking,Mombasa,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,317852512,318133549,321787026,321787026,323114271,321985488,320010117,321703292,322553799,323968509
RM 6,Institutional Banking,Milimani,19994532,21394532,21606532,21606532,21605572,22235572,23155572,13631318,13630718,14380718
RM 1,Branch Banking,Milimani,15692165,15698178,15936112,15936112,15935512,15911460,15869370,15905447,15905447,15935512
RM 3,Branch Banking,Eldoret,6859546,6859546,6859546,6859546,6859546,6859546,6859546,6859546,6980791,6980791
RM 7,Corporate Sales,Milimani,4407492,4407492,4407492,5007492,5006892,5077143,5077143,5077143,5076543,5076543
RM 1,Branch Banking,Milimani,3995197,4024669,3224669,3868869,3868269,3573269,3563269,2525829,2525229,2725229
RM 1,Branch Banking,Milimani,123399,123399,123399,123399,123399,123399,123399,123399,123399,123399
RM 1,Branch Banking,Milimani,6220938,6220938,6220938,6220938,6220938,6220938,6327563,6327563,6327563,6327563
RM 1,Branch Banking,Milimani,4117175,4117175,4117175,4135054,4135054,4135054,4135054,4135054,4153035,4153035
RM 1,Branch Banking,Milimani,2746203,2746203,2746203,2828529,2828529,2828529,2828529,2877002,2877002,2877002
RM 1,Branch Banking,Milimani,531319,481319,481319,526964,526975,526975,526975,526975,573490,422963
RM 1,Branch Banking,Milimani,279,30277,10274,10274,3092,89,10087,2084,1724,1724
RM 1,Branch Banking,Milimani,1894544,1130201,7793430,375862,1154704,4089249,2868737,5621170,7425005,449523
RM 1,Branch Banking,Milimani,125019643,125019643,125157355,124180267,124180267,114459705,114459705,114459705,118860039,995519
RM 1,Branch Banking,Milimani,52879,52879,52879,52879,52879,52879,52879,52879,52879,52879
RM 1,Branch Banking,Milimani,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564
RM 5,Corporate Banking,Milimani,235802,3991,2324,60788,139417,442849,550240,582998,4136,86561
RM 1,Branch Banking,Milimani,2641686,239216,89216,89216,88616,88616,18616,18616,18016,578016
RM 1,Branch Banking,Milimani,11000000,11000000,11000000,11000000,11000000,11000000,11400000,11400000,11400000,11400000
RM 5,Corporate Banking,Milimani,8287525,8010251,8010251,8010251,5010251,5010251,5010251,5010251,5010251,5010251
RM 1,Branch Banking,Milimani,13216593,13216593,13293181,13293181,13293181,13293181,13293181,13293181,13293181,13293181
RM 1,Branch Banking,Milimani,13000000,13000000,13000000,28000000,28000000,28000000,28000000,28000000,28000000,28000000
RM 1,Branch Banking,Milimani,4263128,4263128,4338164,4338214,4440214,4619214,4659082,4719082,4719082,4769082
RM 7,Corporate Sales,Milimani,3513058,3452726,3374968,3353828,3353828,3302630,3272498,3220602,3162326,2486776
RM 5,Corporate Banking,Milimani,5014788,5014788,7013288,7013288,7012688,7012688,7012688,7002688,7386684,5586084
RM 3,Branch Banking,Eldoret,4200330,4392836,4468073,4484573,4382697,4445797,4451797,4480765,4479793,4387258
RM 1,Branch Banking,Milimani,380622,342399,347399,347399,347399,288063,288063,288063,288063,290219
RM 2,Branch Banking,Mombasa,4830752,4830752,4830752,4830752,4830752,4830752,4830752,4831308,4831308,4831308
RM 1,Branch Banking,Milimani,2585882,2642913,2642913,2642913,2642913,2642913,2642913,2642913,2642913,2642913
RM 1,Branch Banking,Milimani,65692356,65692464,65693871,65698108,65697489,65838528,65836880,65569968,65569968,65569968
RM 1,Branch Banking,Milimani,4414439,4482842,4482842,4482842,4482842,4482842,4482842,4482842,4482842,4493880
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,201688,201688,201688,201688,201088,201088,201088,201088,200488,200488
RM 3,Branch Banking,Eldoret,4609976,4635410,4635410,4635410,4635410,4661288,4661288,4661288,4661288,4685571
RM 2,Branch Banking,Mombasa,5001432,5029712,5006102,4989007,4983374,4707523,4666123,4689045,4718361,4583049
RM 1,Branch Banking,Milimani,4021837,4021837,4021837,4021837,4021837,4021837,4021837,4021837,4099387,4099387
RM 6,Institutional Banking,Milimani,86051,396051,587879,162879,161800,161800,173628,173628,173628,115128
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 3,Branch Banking,Eldoret,4317990,4317990,4317990,4382666,4382666,4382666,4382666,4382666,4382666,4382666
RM 1,Branch Banking,Milimani,1294952,1294952,1294952,1294952,1294352,1294352,1294352,1294352,1293752,1293752
RM 1,Branch Banking,Milimani,96125396,96484912,96764082,96764082,96873642,98094826,98094826,98223526,98287426,98368148
RM 6,Institutional Banking,Milimani,70550348,70554648,70610548,70610548,70609948,70592748,70562648,70588448,70587848,70609348
RM 1,Branch Banking,Milimani,19999039,20466837,20570440,20570440,20571390,20595984,20595984,20595984,20605985,20947526
RM 8,Corporate Sales,Milimani,68216,68216,68216,68216,67616,67616,67616,67616,67016,67016
RM 2,Branch Banking,Mombasa,3900770,3900770,3900770,3900770,3900770,3900770,3900770,3900770,3900770,3900770
RM 1,Branch Banking,Milimani,172757,172757,172757,172757,172157,172157,172157,172157,171557,171557
RM 2,Branch Banking,Mombasa,3733384,3733384,3733384,3733384,3738001,3738001,3738001,3738001,3742626,3742626
RM 13,Branch Banking,Industrial Area,324446,277362,2057527,1797527,1947273,1876533,516933,    ,    ,    
STAFF,Staff,Milimani,3015617,3015631,3015810,12015810,11015192,11015139,11015046,11015126,11014512,11014576
RM 1,Branch Banking,Milimani,72189,72189,72189,72189,72189,72189,72189,72189,72189,102189
RM 1,Branch Banking,Milimani,14454,665464,625226,475160,408486,45288,45288,15090,1150536,    
RM 2,Branch Banking,Mombasa,3720937,3720937,3720937,3720937,3721937,3721937,3721937,3721937,3722937,3722937
RM 5,Corporate Banking,Milimani,2150725,2146823,2404428,2324660,2154928,2348696,2631690,2451690,2306715,2627419
RM 5,Corporate Banking,Milimani,889914,720905,842996,942996,1061778,560536,672814,674376,673163,623862
RM 3,Branch Banking,Eldoret,3384079,3348079,3348079,3394328,3394328,3394328,3394328,3394328,3394328,3394328
RM 1,Branch Banking,Milimani,2016,2016,2016,2016,2289,2289,2289,2289,2662,2662
RM 8,Corporate Sales,Milimani,3397528,3397528,3397528,3397528,3397528,3397528,3397528,3452079,3452079,3452079
RM 2,Branch Banking,Mombasa,1251591,1295591,1640591,1440591,1568744,1412744,1412744,1557744,1686062,1530062
RM 13,Branch Banking,Industrial Area,3385243,3504914,3504914,3504914,3504914,3504914,3504914,3504914,3504914,3504914
RM 5,Corporate Banking,Milimani,6822879,8174184,8043613,9559472,7847906,4968011,4937568,4750482,4749268,4317170
RM 2,Branch Banking,Mombasa,2915352,2915352,2915352,3127752,3330102,3330102,3330102,3330102,3754302,2536802
RM 1,Branch Banking,Milimani,51793850,51947506,52235852,32667442,32548914,32810003,33112620,33245642,34582942,32330788
RM 1,Branch Banking,Milimani,550949,604949,604949,554949,554949,124944,90941,160941,160941,100939
RM 1,Branch Banking,Milimani,344036,204036,183470,183470,180964,126090,101024,51892,21226,21226
RM 2,Branch Banking,Mombasa,3375219,3279219,3279219,3304696,3402456,3452456,3452456,3477933,3477835,3477835
RM 1,Branch Banking,Milimani,37682,37682,37682,37682,37082,37082,37082,37082,36482,36482
RM 13,Branch Banking,Industrial Area,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088
RM 3,Branch Banking,Eldoret,899920,647420,607420,335420,222820,222820,184220,74220,73620,3620
RM 1,Branch Banking,Milimani,36692,38192,44192,48692,3745,32245,35245,36745,35953,103106
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 6,Institutional Banking,Milimani,3108318,2187056,7146974,6836819,6450707,1815276,1797185,1556987,1556619,774895
RM 5,Corporate Banking,Milimani,2866890,3366890,3366890,3166890,3055782,3055782,3169634,2839634,2902634,2966526
RM 2,Branch Banking,Mombasa,3177807,3126944,3126944,3126944,3126944,3126944,3126944,3103878,3103878,3103878
RM 1,Branch Banking,Milimani,2487114,2487114,2487114,2529742,2529742,2529742,2529742,2529742,2529742,2529742
RM 2,Branch Banking,Mombasa,1814852,1974622,1915740,2942362,2720464,2670659,2279293,2083028,1976960,1793233
RM 1,Branch Banking,Milimani,2722185,2722185,2722185,2722185,2722185,2735647,2735647,2735647,2735647,2749109
RM 1,Branch Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,1517434,1505302,1500170,1524759,1513627,1755495,2200363,2305297,2353703,3072105
RM 1,Branch Banking,Milimani,16679935,16679935,16731112,17793612,17793612,18042860,18042860,19355360,19155360,19155360
RM 1,Branch Banking,Milimani,1598334,1598334,1598334,1368769,1368769,1368769,1368769,1368769,1377662,1377662
RM 1,Branch Banking,Milimani,1750757,1750757,1750757,1750757,1750757,1750757,1750757,1750757,1784515,1784515
RM 1,Branch Banking,Milimani,722842,687839,642834,642834,642834,642834,612832,612832,612832,621006
RM 9,Corporate Banking,Milimani,677555,212515,212515,1052347,1147,1147,919127,919127,17927,17243
RM 5,Corporate Banking,Milimani,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
RM 1,Branch Banking,Milimani,2887243,2888061,2914907,2914907,2917074,2913805,2899244,2911647,2909544,2919421
RM 7,Corporate Sales,Milimani,22259,22259,22259,22259,22259,22259,22259,22259,22259,22259
RM 6,Institutional Banking,Milimani,229235,50332,50332,80332,114732,116094,70775,70775,70175,32925
RM 1,Branch Banking,Milimani,1696456,1528497,1371097,1371097,1372368,1176129,1028204,497804,498584,316693
RM 1,Branch Banking,Milimani,1281195,1281195,1281195,1281195,1281195,1281195,1281195,1281195,1305899,1305899
RM 1,Branch Banking,Milimani,1317503,1317503,1317503,1317503,1317503,1317503,1317503,1339379,1339379,1339379
RM 6,Institutional Banking,Milimani,484700000,484700000,484700000,484700000,484700000,493396845,493396845,493396845,493395845,496502710
RM 2,Branch Banking,Mombasa,2113562,2113562,2113562,2113562,2113562,2113562,2113562,2113562,2113562,2113562
RM 3,Branch Banking,Eldoret,2942395,2985395,3015395,3015395,3015395,3015395,3115395,3115395,3115395,3115395
RM 3,Branch Banking,Eldoret,2135652,2135652,2135652,2135652,2135652,2135652,2135652,2204089,2204089,2204089
RM 13,Branch Banking,Industrial Area,2722021,2722021,2722021,2722021,2722021,2722021,2722021,2722021,2722021,2722021
RM 13,Branch Banking,Industrial Area,92402,2402,4722,4722,4122,4122,4122,4122,3522,    
RM 2,Branch Banking,Mombasa,2114969,2114969,2144422,2144422,2144422,2144422,2144422,2144422,2144422,2144422
RM 2,Branch Banking,Mombasa,1228482,1235282,1235282,1235282,1235282,1232184,1230118,1230118,1230118,1236918
RM 3,Branch Banking,Eldoret,1930592,1930592,1930592,1928526,1928526,1928526,1928526,1928526,1928526,1928526
RM 1,Branch Banking,Milimani,3173804,3189621,3189621,3189621,3195358,4186162,4201320,4201320,4206374,4212169
